Title,Location,Price,Size,Listing_Type,Link
"2 Bedroom Apartment For Sale in Al Sifah, Muscat","Al Sifah, Muscat","95,000",129 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270497.html
2 Bedroom Apartment For Sale Al Sifah Muscat,"Al Sifah, Muscat","99,000",129 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270582.html
"2 Bedroom Apartment For Sale in Salalah, Dhofar","Salalah, Dhofar","85,000",120 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270418.html
"6 Bedrooms Villa For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","88,000",781 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130257296.html
"4 Bedroom Villa For Sale in Yiti, Muscat","Yiti, Muscat","238,000",256 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130328953.html
"3 Bedrooms Apartment For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","74,350",155 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130286222.html
"Residential Land For Sale Thumrait, Dhofar","Thumrait, Dhofar","12,300",586 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258665.html
3 Bedrooms Apartment For Sale Al Maabilah Muscat,"Al Maabilah, Muscat","108,990",155 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130286239.html
"5 Bedrooms Villa For Sale in Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat","429,000",725 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130288041.html
"4 Bedroom Villa For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","205,000",270 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130279790.html
4 Bedrooms Villas For Sale in Oman,"Al Sifah, Muscat",900,,For Sale,https://www.bayut.om/en/property/details-500024562.html
"2 Bedrooms Apartment For Sale in Qurum, Muscat","Qurum, Muscat","405,000",,For Sale,https://www.bayut.om/en/property/details-130287384.html
6 Bedroom Villa For Sale in The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","480,000",,For Sale,https://www.bayut.om/en/property/details-130294133.html
"5 Bedroom Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","62,000",354 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130272074.html
"3 Bedrooms Villa For Sale in Salalah, Dhofar","Salalah, Dhofar","350,000",292 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130304185.html
"2 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","140,000",127 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283306.html
"3 Bedrooms Apartment For Sale Al Maabilah, Muscat","Al Maabilah, Muscat","100,130",138 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283342.html
5 Bedrooms Villa For Sale The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","578,000",455 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130260558.html
"4 Bedroom Villa For Sale in Al Khoud, Muscat","Al Khoud, Muscat","85,000",283 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130314419.html
"Residential Land For Sale in Mirbat, Dhofar","Mirbat, Dhofar","31,000",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130322635.html
"1 Bedroom Apartment For Sale Al Sifah, Muscat","Al Sifah, Muscat","65,000",91 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130306849.html
5 Bedrooms Villa For Sale Al Sifah Muscat,"Yiti, Muscat","905,000",405 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130300184.html
5 Bedrooms Villa For Sale Al Sifah Muscat,"Yiti, Muscat","922,000",405 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130300176.html
"Residential Land For Sale in Al Amarat, Muscat","Al Amarat, Muscat","6,200","1,000 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130263239.html
2 Bedroom Apartment For Sale in Oman,"Wadi Bani Khalid, Al Sharqiya","8,000",900 Sq. M.,For Sale,https://www.bayut.om/en/property/details-500024574.html
"3 Bedrooms Chalet For Sale in Barka, Al Batinah","Barka, Al Batinah","59,000",192 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130262532.html
"3 Bedrooms Apartment For Sale Al Khuwair, Muscat","Al Khuwair, Muscat","60,000",125 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130303602.html
"1 Bedroom Apartment For Sale The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","100,000",90 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130306981.html
1 Bedroom Apartment For Sale Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","89,000",104 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130303472.html
"2 Bedroom Chalet For Sale Al Sifah, Muscat","Al Sifah, Muscat","190,000",990 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130260258.html
"2 Bedrooms Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","85,000",120 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130288064.html
"6 Bedroom Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","725,000",606 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130326939.html
"2 Bedrooms Apartment For Sale in Salalah, Dhofar","Salalah, Dhofar","20,000",64 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130291600.html
"3 Bedrooms Chalet For Sale Misfah, Muscat","Misfah, Muscat","95,000",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130301210.html
"5 Bedrooms Villa For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","105,000",300 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298050.html
5 Bedrooms Villa For Sale Al Khoud Muscat,"Al Khoud, Muscat","137,000",420 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298134.html
"3 Bedrooms Villa For Sale in Al Khoud, Muscat","Al Khoud, Muscat","165,000",500 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298064.html
6 Bedrooms Villa For Sale Al Mawaleh Muscat,"Al Mawaleh, Muscat","160,000",408 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298043.html
"1 Bedroom Apartment For Sale Taqah, Dhofar","Taqah, Dhofar","55,000",75 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130304903.html
"7 Bedroom Villa For Sale in Ansab, Muscat","Ansab, Muscat","232,000",664 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130273642.html
2 Bedrooms Apartment For Sale Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","135,000",138 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130289802.html
2 Bedrooms Apartment For Sale The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","140,000",127 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283301.html
"1 Bedroom Apartment For Sale Al Hail, Muscat","Al Hail, Muscat","39,000",79 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130288072.html
"8 Bedroom Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","78,000",350 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298729.html
"3 Bedroom Villa For Sale Yiti, Muscat","Yiti, Muscat","274,733",238 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130282076.html
"5 Bedroom Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","63,500",327 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130252100.html
"2 Bedrooms Villa For Sale Salalah, Dhofar","Salalah, Dhofar","135,000",124 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130251449.html
"Residential Land For Sale in Barka, Al Batinah","Barka, Al Batinah","34,000",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130299827.html
"6 Bedroom Villa For Sale in Al Hail, Muscat","Al Hail, Muscat","140,000","3,863 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130303802.html
"2 Bedrooms Apartment For Sale Taqah, Dhofar","Taqah, Dhofar","109,000",,For Sale,https://www.bayut.om/en/property/details-130255734.html
"3 Bedroom Apartment For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","68,590",138 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283335.html
"2 Bedroom Apartment For Sale in Ghala, Muscat","Ghala, Muscat","44,500",95 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130267674.html
"2 Bedrooms Villa For Sale in Barka, Al Batinah","Barka, Al Batinah","35,500",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130275121.html
"1 Bedroom Apartment For Sale in Al Seeb, Muscat","Al Seeb, Muscat","68,032",96 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130256591.html
"Studio Apartment For Sale in Nizwa, Al Dakhiliya","Nizwa, Al Dakhiliya","5,500",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130322807.html
"2 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","146,500",125 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130289629.html
2 Bedrooms Apartment For Sale Qurum Muscat,"Qurum, Muscat","80,000",137 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130287932.html
"1 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","63,000",74 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130265096.html
"6 Bedroom Villa For Sale in Al Mawaleh, Muscat","Al Mawaleh, Muscat","1,360,000",933 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130261626.html
"3 Bedrooms Villa For Sale Al Amarat, Muscat","Al Amarat, Muscat","52,000",399 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130278899.html
"1 Bedroom Apartment For Sale in Al Seeb, Muscat","Al Seeb, Muscat","59,016",83 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130295744.html
"Studio Apartment For Sale Ruwi, Muscat","Ruwi, Muscat","19,000",147 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130300903.html
"3 Bedrooms Villa For Sale in Al Amarat, Muscat","Al Amarat, Muscat","44,000",208 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130247537.html
"5 Bedrooms Villa For Sale Barka, Al Batinah","Barka, Al Batinah","65,000",233 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130285548.html
"1 Bedroom Apartment For Sale Muscat Hills, Muscat","Muscat Hills, Muscat","63,000",78 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130261539.html
"6 Bedroom Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","1,500,000",907 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130286390.html
"3 Bedroom Villa For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","90,000",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130267713.html
"2 Bedroom Apartment For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","37,000",136 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130247082.html
"4 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","920,000",421 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248154.html
"1 Bedroom Apartment For Sale Ghala, Muscat","Ghala, Muscat","38,000",68 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130303882.html
"2 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","245,000",126 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130291257.html
"Residential Land For Sale Al Amarat, Muscat","Al Amarat, Muscat","3,650",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258651.html
"1 Bedroom Apartment For Sale The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","89,000",104 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130303568.html
"2 Bedrooms Apartment For Sale in Al Hail, Muscat","Al Hail, Muscat","45,000",130 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130328908.html
"5 Bedrooms Villa For Sale Bosher, Muscat","Bosher, Muscat","240,000",404 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130306962.html
"3 Bedrooms Villa For Sale in Al Sifah, Muscat","Yiti, Muscat","716,000",166 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130300163.html
"Studio Apartment For Sale in Salalah, Dhofar","Salalah, Dhofar","45,000",55 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130273198.html
5 Bedrooms Villa For Sale Al Maabilah Muscat,"Al Maabilah, Muscat","154,900",400 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270855.html
"5 Bedrooms Villa For Sale Al Maabilah, Muscat","Al Maabilah, Muscat","227,100",400 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270861.html
"5 Bedroom Villa For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","203,300",500 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130270875.html
"2 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","85,000",135 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130261444.html
"Studio Apartment For Sale in Azaiba, Muscat","Azaiba, Muscat","15,000",90 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283755.html
2 Bedroom Apartment For Sale Muscat - Other,"Muscat - Other, Muscat","155,000",156 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130257370.html
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","125,000",70 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130240523.html
"2 Bedrooms Apartment For Sale Al Hail, Muscat","Al Hail, Muscat","69,000",102 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130291151.html
"6 Bedroom Villa For Sale in Al Hail, Muscat","Al Hail, Muscat","210,000",480 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130298114.html
"1 Bedroom Apartment For Sale Al Seeb, Muscat","Al Seeb, Muscat","26,500",70 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130287249.html
"Land Residential For Sale Al Mawaleh, Muscat","Al Mawaleh, Muscat","105,000",690 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130234981.html
"5 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","588,000",722 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130266493.html
"Land + For Sale + Barka, Al Batinah","Barka, Al Batinah","15,000",300 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130299785.html
"4 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","The Wave (Almouj), Muscat","205,000",175 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130233566.html
4 Bedrooms Villa For Sale Al Khoud Muscat,"Al Khoud, Muscat","117,000",328 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130264669.html
"Residential Land For Sale in Shinas, Al Batinah","Shinas, Al Batinah","25,000","5,281 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130217993.html
"Residential Land For Sale in Shinas, Al Batinah","Shinas, Al Batinah","31,500","6,956 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130218065.html
"Land For Sale in Saham, Al Batinah","Saham, Al Batinah","4,500",607 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130218083.html
"4 Bedrooms Villa For Sale Al Sifah, Muscat","Al Sifah, Muscat","335,000",344 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130225728.html
"7 Bedroom Villa For Sale in Muscat, Bosher","Bosher, Muscat","146,000",240 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130242325.html
"5 Bedroom Villa For Sale in Al Khoud, Muscat","Al Khoud, Muscat","137,000",420 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130215187.html
"4 Bedrooms Villa For Sale Sumail, Al Dakhiliya","Sumail, Al Dakhiliya","47,000",260 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130280783.html
"3 Bedrooms Apartment For Sale Al Maabilah, Muscat","Al Maabilah, Muscat","36,500",126 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130271009.html
"Residential Land For Sale Saham, Al Batinah","Saham, Al Batinah","5,200",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130215926.html
"3 Bedrooms Villa For Sale Al Amarat, Muscat","Al Amarat, Muscat","39,000",423 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130324655.html
"3 Bedroom Villa For Sale in Al Sifah, Muscat","Yiti, Muscat","455,000",120 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130300155.html
"5 Bedrooms Villa For Sale in Sohar, Al Batinah","Sohar, Al Batinah","48,000",304 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130219535.html
Residential Land For Sale Al Rustaq - Al Batinah,"Al Rustaq, Al Batinah","100,000","3,180 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130269303.html
"3 Bedroom Villa For Sale Al Maabilah, Muscat","Al Maabilah, Muscat","176,000",240 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130263058.html
"Residential Land For Sale in Al Masn'a, Al Batinah","Al Masn'a, Al Batinah","5,950",600 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258009.html
"Residential Land For Sale in Saham, Al Batinah","Saham, Al Batinah","9,300",757 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130283721.html
"1 Bedroom Apartment For Sale Al Duqum, Al Wusta","Al Duqum, Al Wusta","23,000",35 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258834.html
"4 Bedrooms Villa For Sale Al Rustaq, Al Batinah","Al Rustaq, Al Batinah","49,000",293 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130237219.html
"Residential Land For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","130,000",500 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130252768.html
"5 Bedrooms Villa For Sale Ansab, Muscat","Ansab, Muscat","105,000",422 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130257089.html
3 Bedroom Apartment For Sale The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","135,000",138 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130280465.html
"3 Bedroom Chalet For Sale Suwaiq, Al Batinah","Suwaiq, Al Batinah","85,000","10,000 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130236522.html
"2 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","112,000",138 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258519.html
"5 Bedrooms Villa For Sale in Al Maabilah, Muscat","Al Maabilah, Muscat","174,650",249 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248320.html
"2 Bedrooms Apartment for Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","90,675",108 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130256806.html
"1 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","65,000",85 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130251643.html
"7 Bedroom Villa For Sale in Ansab, Muscat","Ansab, Muscat","165,000",300 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130252189.html
"1 Bedroom Apartment For Sale in Yiti, Muscat","Yiti, Muscat","96,122",68 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248309.html
"2 Bedrooms Apartment For Sale in Ghala, Muscat","Ghala, Muscat","45,000",99 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248269.html
"2 Bedroom Apartment For Sale Qurum, Muscat","Qurum, Muscat","298,082",132 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248334.html
2 Bedrooms Villa For Sale Al Sifah Muscat,"Al Sifah, Muscat","190,000",818 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248426.html
"3 Bedroom Apartment For Sale Salalah, Dhofar","Salalah, Dhofar","125,000",111 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130248296.html
"5 Bedrooms Villa For Sale Nizwa, Al Dakhiliya","Nizwa, Al Dakhiliya","82,000",430 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130254904.html
"2 Bedroom Villa For Sale in Salalah, Dhofar","Salalah, Dhofar","160,000",131 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130212745.html
10 Bedrooms Villa For Sale in Al Buraimi,"Al Buraimi, Al Buraimi","1,000,000","1,500 Sq. M.",For Sale,https://www.bayut.om/en/property/details-130220012.html
1 Bedroom Apartment For Sale The Wave (Almouj) Muscat,"The Wave (Almouj), Muscat","94,000",107 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130261787.html
"1 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","63,000",76 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130258598.html
"4 Bedrooms Villa For Sale Al Khoud, Muscat","Al Khoud, Muscat","235,000",417 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130249736.html
"1 Bedroom Apartment For Sale in Muscat Hills, Muscat","Muscat Hills, Muscat","63,000",95 Sq. M.,For Sale,https://www.bayut.om/en/property/details-130247612.html
