added_on,bathrooms,bedrooms,completion,furnishing,link,listing_id,listing_type,location,price,property_type,purpose,size_sqm,title
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,ID129789432.html,For Sale,"Ghala, Muscat",OMR 500,,Sale,,ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala
,4,4,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,ID130303578.html,For Sale,"Al Khoud, Muscat","OMR 285,000",,Sale,420 SQM,فيلا راقيه للبيع في الخوض السادسه
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,ID130483952.html,For Sale,"Barka, Al Batinah","OMR 50,000",,Sale,,الأرض للبيع مساحه ٢١٠٨ م
,1,1,,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-apartment-for-sale-with-direct-sea-view-sifah-ID130075608.html,ID130075608.html,For Sale,"Al Sifah, Muscat","OMR 95,000",,Sale,54 SQM,"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah"
,7,6,,,https://www.dubizzle.com.om/en/ad/advs1501-new-villa-modern-and-well-designed-4-bhk-villa-for-sale-in-ID130482825.html,ID130482825.html,For Sale,"Al Amarat, Muscat","OMR 98,000",,Sale,650 SQM,"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in"
,1,1,,,https://www.dubizzle.com.om/en/ad/2bedroom-lake-view-apartment-for-sale-in-hawana-salalah-ID130188400.html,ID130188400.html,For Sale,"Salalah, Dhofar","OMR 85,000",,Sale,89 SQM,2Bedroom Lake View Apartment for Sale in Hawana Salalah
,2,1,,,https://www.dubizzle.com.om/en/ad/furnished-1-bedroom-apartment-for-sale-in-hawana-salalah-pool-view-ID130187754.html,ID130187754.html,For Sale,"Salalah, Dhofar","OMR 50,000",,Sale,40.7 SQM,Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View
,5,5,,,https://www.dubizzle.com.om/en/ad/5-br-spacious-villa-in-azaiba-nearby-amenities-ID130480123.html,ID130480123.html,For Sale,"Azaiba, Muscat","OMR 197,000",,Sale,460 SQM,5 BR Spacious Villa in Azaiba Nearby Amenities
,4,3,,,https://www.dubizzle.com.om/en/ad/two-bedroom-seaview-apartment-at-mandarin-oriental-muscat-ID130287384.html,ID130287384.html,For Sale,"Qurum, Muscat","OMR 405,000",,Sale,184 SQM,Two Bedroom Seaview Apartment at Mandarin Oriental Muscat
,4,3,,,https://www.dubizzle.com.om/en/ad/villa-for-sale-garden-sea-view-ID130333529.html,ID130333529.html,For Sale,"Yiti, Muscat","OMR 517,000",,Sale,769 SQM,Villa for Sale (Garden) - Sea View
,2,2,,,https://www.dubizzle.com.om/en/ad/apartment-for-sale-in-muscat-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%B3%D9%82%D8%B7-ID130385552.html,ID130385552.html,For Sale,"Yiti, Muscat","OMR 87,000",,Sale,93 SQM,Apartment for sale in Muscat- شقة للبيع في مسقط
,5,3,,,https://www.dubizzle.com.om/en/ad/courtyard-villa-for-sale-%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID130322775.html,ID130322775.html,For Sale,"Yiti, Muscat","OMR 238,000",,Sale,252 SQM,Courtyard Villa for Sale -  فيلا للبيع
,6,6,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,ID127849599.html,For Sale,"Al Maabilah, Muscat","OMR 120,000",,Sale,450 SQM,‎فيلا جديده راقيه للبيع في المعبيلة الثالثة
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,ID129792393.html,For Sale,"Barka, Al Batinah","OMR 350,000",,Sale,,أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,ID129792295.html,For Sale,"Al Buraimi, Al Buraimi","OMR 250,000",,Sale,,أرض للبيع او الاستثمار بناية سكنيه تجارية
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,ID129789432.html,For Sale,"Ghala, Muscat",OMR 500,,Sale,,ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala
,4,4,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,ID130303578.html,For Sale,"Al Khoud, Muscat","OMR 285,000",,Sale,420 SQM,فيلا راقيه للبيع في الخوض السادسه
,,,,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,ID130483952.html,For Sale,"Barka, Al Batinah","OMR 50,000",,Sale,,الأرض للبيع مساحه ٢١٠٨ م
,1,1,,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-apartment-for-sale-with-direct-sea-view-sifah-ID130075608.html,ID130075608.html,For Sale,"Al Sifah, Muscat","OMR 95,000",,Sale,54 SQM,"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah"
,7,6,,,https://www.dubizzle.com.om/en/ad/advs1501-new-villa-modern-and-well-designed-4-bhk-villa-for-sale-in-ID130482825.html,ID130482825.html,For Sale,"Al Amarat, Muscat","OMR 98,000",,Sale,650 SQM,"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in"
,1,1,,,https://www.dubizzle.com.om/en/ad/2bedroom-lake-view-apartment-for-sale-in-hawana-salalah-ID130188400.html,ID130188400.html,For Sale,"Salalah, Dhofar","OMR 85,000",,Sale,89 SQM,2Bedroom Lake View Apartment for Sale in Hawana Salalah
,2,1,,,https://www.dubizzle.com.om/en/ad/furnished-1-bedroom-apartment-for-sale-in-hawana-salalah-pool-view-ID130187754.html,ID130187754.html,For Sale,"Salalah, Dhofar","OMR 50,000",,Sale,40.7 SQM,Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View
,1,1,,,https://www.dubizzle.com.om/en/ad/2bhk-penthouse-apartment-with-stunning-view-for-sale-in-jebel-sifah-ID130270582.html,ID130270582.html,For Sale,"Al Sifah, Muscat","OMR 95,000",,Sale,54 SQM,2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah
,9,9,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-villa-for-sale-sultan-haitham-city-ID130027596.html,ID130027596.html,For Sale,"Al Seeb, Muscat","OMR 175,000",,Sale,603 SQM,"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City"
,3,3,,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-apartments-for-sale-in-sultan-haitham-ID130151507.html,ID130151507.html,For Sale,"Sultan Haitham City, Muscat","OMR 53,922",,Sale,167 SQM,شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham
,1,1,,,https://www.dubizzle.com.om/en/ad/2-bedroom-apartment-in-jebel-sifah-%D8%B4%D9%82%D8%A9-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID130022533.html,ID130022533.html,For Sale,"Al Sifah, Muscat","OMR 73,000",,Sale,63.6 SQM,2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة
,3,2,,,https://www.dubizzle.com.om/en/ad/farm-21-bedrooms-in-jebel-sifah-%D8%B4%D8%A7%D9%84%D9%8A%D9%87-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D8%B9%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID129344708.html,ID129344708.html,For Sale,"Al Sifah, Muscat","OMR 170,000",,Sale,990 SQM,Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة
,1,1,,,https://www.dubizzle.com.om/en/ad/2bhk-penthouse-apartment-with-stunning-view-for-sale-in-jebel-sifah-ID130270582.html,ID130270582.html,For Sale,"Al Sifah, Muscat","OMR 95,000",,Sale,54 SQM,2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah
,9,9,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-villa-for-sale-sultan-haitham-city-ID130027596.html,ID130027596.html,For Sale,"Al Seeb, Muscat","OMR 175,000",,Sale,603 SQM,"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City"
